512	204
465	238
473	222
492	236
482	199
468	166
446	171
677	252
649	180
658	195
656	210
675	243
693	261
713	263
727	235
693	240
617	132
610	115
587	116
586	132
592	151
571	112
578	97
595	102
607	136
685	224
718	216
706	229
663	226
653	234
637	212
690	179
445	186
464	205
431	254
506	217
510	184
490	179
566	276
576	302
575	285
380	223
394	202
419	198
447	215
469	186
493	156
497	201
426	226
405	219
446	233
548	310
570	317
593	301
584	267
558	273
546	282
589	312
588	291
603	290
594	281
559	291
669	214
678	196
712	190
734	248
703	247
698	205
570	132
582	152
592	120
599	138
607	155
