712	190
734	248
703	247
677	252
685	224
718	216
706	229
663	226
653	234
637	212
690	179
698	205
649	180
658	195
656	210
675	243
693	261
405	219
446	233
512	204
469	186
493	156
497	201
465	238
473	222
492	236
482	199
468	166
446	171
445	186
464	205
431	254
506	217
510	184
490	179
576	302
575	285
548	310
570	317
593	301
584	267
558	273
380	223
394	202
419	198
447	215
426	226
588	291
603	290
566	276
594	281
559	291
669	214
678	196
546	282
589	312
713	263
727	235
693	240
